Range,Freq Dev,FM Freq,Measured,Expected,Error
10,145.0,1,0.064962,0.064882,0.122091
10,145.0,1,0.064962,0.064882,0.123128
10,145.0,1,0.064963,0.064882,0.123803
10,145.0,1,0.064963,0.064882,0.124349
10,150.0,1,0.067201,0.06712,0.120523
10,150.0,1,0.067201,0.06712,0.12108
10,150.0,1,0.067201,0.06712,0.121531
10,150.0,1,0.067201,0.06712,0.121865
10,150.0,1,0.067201,0.06712,0.121295
10,155.0,1,0.06944,0.069357,0.120417
10,155.0,1,0.069439,0.069357,0.117984
10,155.0,1,0.06944,0.069357,0.1204
10,155.0,1,0.069439,0.069357,0.118432
10,155.0,1,0.06944,0.069357,0.119986
10,160.0,1,0.071678,0.071594,0.117075
10,160.0,1,0.071679,0.071594,0.117914
10,160.0,1,0.071678,0.071594,0.116632
10,160.0,1,0.071678,0.071594,0.116526
10,160.0,1,0.071678,0.071594,0.1169
10,165.0,1,0.073916,0.073832,0.113736
10,165.0,1,0.073915,0.073832,0.112808
10,165.0,1,0.073913,0.073832,0.110598
10,165.0,1,0.073916,0.073832,0.114555
10,165.0,1,0.073915,0.073832,0.113239
10,170.0,1,0.06595,0.076069,-13.302627
10,170.0,1,0.065914,0.076069,-13.35014
10,170.0,1,0.065956,0.076069,-13.294916
10,170.0,1,0.065929,0.076069,-13.329579
10,170.0,1,0.065927,0.076069,-13.332862
10,175.0,1,0.061551,0.078306,-21.39752
10,175.0,1,0.061587,0.078306,-21.351176
10,175.0,1,0.061551,0.078306,-21.397556
10,175.0,1,0.061606,0.078306,-21.327285
10,175.0,1,0.061688,0.078306,-21.22249
10,180.0,1,0.058844,0.080544,-26.940819
10,180.0,1,0.058779,0.080544,-27.021647
10,180.0,1,0.058797,0.080544,-26.999622
10,180.0,1,0.058776,0.080544,-27.025453
10,180.0,1,0.058764,0.080544,-27.040118
10,185.0,1,0.056591,0.082781,-31.637744
10,185.0,1,0.056605,0.082781,-31.621088
10,185.0,1,0.056636,0.082781,-31.583416
10,185.0,1,0.056635,0.082781,-31.584793
10,185.0,1,0.056671,0.082781,-31.540373
10,190.0,1,0.055062,0.085018,-35.234873
10,190.0,1,0.055018,0.085018,-35.286984
10,190.0,1,0.055058,0.085018,-35.239174
10,190.0,1,0.05506,0.085018,-35.237645
10,190.0,1,0.05509,0.085018,-35.201904
10,195.0,1,0.053653,0.087256,-38.510411
10,195.0,1,0.053642,0.087256,-38.522956
10,195.0,1,0.053643,0.087256,-38.522019
10,195.0,1,0.053662,0.087256,-38.500599
10,195.0,1,0.053666,0.087256,-38.495477
